Nummer     Titel
------------------------------------------------------------
1          Gezegend hij, die in der bozen raad
2          Wat drijft de volken, wat bezielt ze toch?
3          O Heer, de vijand stelt
4          Laat als ik roep mij op U hopen,
5          Laat mij, mijn koning, tot U spreken.
6          Heer, toon mij uw genade,
7          Here mijn God, Gij hoedt mijn leven,
8          Heer, onze Heer, hoe heerlijk en verheven
9          Met heel mijn hart zing ik uw eer,
10         Hoe komt het, Heer, dat Gij zo verre zijt?
11         Ik schuil bij God. Hoe kunt gij dan nog zeggen:
12         Breng redding, Heer, de vroomheid is geweken.
13         Hoe lang, Heer, gaat Gij mij voorbij?
14         De dwaas zegt in zijn hart: 'Er is geen God',
15         Wie zult Gij noden in uw tent,
16         Bewaar mij, want ik schuil bij U, o God,
17         Hoor, Heer, Gij God van trouw en recht,
18         Ik heb U lief van ganser harte, Here.
19         De hemel roemt de Heer,
20         Moge de Heer u antwoord geven
21         O Heer, de koning is verheugd!
22         Mijn God, Mijn God, waarom verlaat Gij mij
23         opdat ik Hem zal prijzen om zijn zegen.
24         De aarde en haar volheid zijn
25         Heer, ik hef mijn hart en handen
26         O Heer, op wie ik pleit,
27         Mijn licht, mijn heil is Hij, mijn God en Here!
28         Ik roep tot U, mijn rots, mijn Here!
29         Gij die hoog verheven zijt,
30         Dank, Heer, Gij hebt het niet gedoogd,
31         Op U vertrouw ik, Heer der heren,
32         Heil hem, wien God zijn ontrouw heeft vergeven
33         Kom nu met zang en roer de snaren,
34         Ik loof de Heer altijd.
35         Twist, Here, met mijn twisters, strijd
36         De zonde die de zondaars vleit
37         Wees niet afgunstig op de goddeloze
38         Laat toch niet uw toorn, O Here,
39         Ik zeide wel: Nu let ik op mijn weg
40         Met heel mijn hart heb ik de Heer verwacht,
41         Heil hem die de geringe helpt in nood,
42         Evenals een moede hinde
43         O God, kom mijn geding beslechten,
44         Heer, wat de vaderen vertelden
45         Met luide stem breng ik de koning hulde
46         God is een toevlucht te allen tijde,
47         Volken wees verheugd, / jubel, toon uw vreugd,
48         De Heer is groot, zijn lof weerklinkt
49         Bewoners van de wijde wereld, hoort.
50         De Heer die leeft, de God der goden spreekt,
51         Ontferm u God, ontferm u, hoor mijn klacht,
52         Waarom toch het kwaad zo te prijzen,
53         De dwaas zegt in zijn hart: ‘Er is geen God',
54         O God, verlos mij door uw naam!
55         God, laat mij smekend tot U treden,
56         Wees mij genadig, Heer, want een geweld
57         Wees mij genadig, Heer, wees mij nabij,
58         Gij hoge raad, bijeengekomen
59         Kom, Heer, mij uit de hand bevrijden
60         O God, die ons verstoten had,
61         O Here, verhoor mijn smeken. / Haast bezweken
62         Mijn ziel is stil tot God mijn Heer,
63         Mijn God, Gij zijt mijn toeverlaat,
64         Behoed mij, Heer, hoor naar mijn klagen!
65         De stilte zingt U toe, o Here,
66         Breek, aarde, uit in jubelzangen,
67         God zij ons gunstig en genadig.
68         God richt zich op, de vijand vlucht;
69         Red mij, o God, het water stijgt en stijgt,
70         Haast u om mij te redden, God!
71         Heer, laat mij schuilen in uw hoede,
72         Geef, Heer, de koning uwe rechten
73         Ja, God is goed voor Israël,
74         Waarom, o God, verstoot Gij voor altoos,
75         U alleen, U loven wij,
76         God wordt geëerd in Israël,
77         Roepend om gehoor te vinden,
78         Mijn volk, ik ga geheimen openleggen.
79         O God, nu zijn de heidenen gekomen,
80         O God van Jozef, leid ons verder,
81         Jubel God ter eer,
82         God staat in ’t midden van de goden,
83         Zwijg niet, o God, verhef uw woord,
84         Hoe lieflijk, hoe goed is mij, Heer,
85         Gij waart goedgunstig voor uw land, o Heer,
86         Hoor mij, Heer, wil antwoord zenden,
87         Op Sions berg sticht God zijn heilige stede.
88         Heer, die mijn heil, mijn helper zijt,
89         Ik zal zo lang ik leef bezingen in mijn lied
90         Gij zijt geweest, o Heer, en Gij zult wezen
91         Heil hem wien God een plaats bereidt
92         Waarlijk, dit is rechtvaardig / dat men de Here prijst,
93         De Heer is koning, Hij regeert altijd,
94         Verschijn in lichtglans, God der wrake!
95         Steek nu voor God de loftrompet,
96         Zing voor de Heer op nieuwe wijze,
97         Groot koning is de Heer. / Volken bewijs Hem eer,
98         Zing een nieuw lied voor God de Here,
99         God is koning, Hij / sticht zijn heerschappij.
100        Juich Gode toe, bazuin en zing.
101        Ik wil, Heer, in mijn lied de zegeningen
102        Heer, hoor mijn gebed, laat blijken
103        Zegen, mijn ziel, de grote naam des Heren,
104        Mijn ziel, verheerlijk God om zijne macht.
105        Loof God de Heer, en laat ons blijde
106        Loof nu de Heer, want Hij is goed,
107        Gods goedheid houdt ons staande
108        Mijn hart is, Heer, in U gerust.
109        God die ik loof te allen tijde,
110        De Here God heeft tot mijn heer gesproken:
111        Van ganser harte loof ik Hem
112        God zij geloofd en hoog geprezen.
113        Prijs, halleluja, prijs de Heer,
114        Toen Israël uit Egypteland ging,
115        Niet ons, o Heer, niet ons zij eer gewijd,
116        God heb ik lief, want die getrouwe Heer
117        Loof, alle volken, loof de Heer,
118        Laat ieder ’s Heren goedheid prijzen,
119        Welzalig wie de rechte wegen gaan,
120        Ik hief mijn stem in vrees en beven
121        Ik sla mijn ogen op en zie
122        Hoe sprong mijn hart hoog op in mij,
123        Tot U, die zetelt in de hemel hoog,
124        Laat Israël nu zeggen blij van geest:
125        Wie op de Here God vertrouwen
126        Toen God de Heer uit ’s vijands macht
127        Wanneer de Heer het huis niet bouwt,
128        Welzalig is een ieder / die God van harte vreest
129        Zij hebben immer van mijn jeugd af aan,
130        Uit diepten van ellende
131        O Heer, er is geen trots in mij,
132        Heer, denk aan David en zijn eed.
133        Zie toch hoe goed, hoe lieflijk is ’t dat zonen
134        Gij dienaars aan de Heer gewijd,
135        Halleluja! loof de Heer,
136        Loof de Heer, want Hij is goed,
137        Aan Babels stromen zaten wij gevangen.
138        U loof ik, Heer, met hart en ziel,
139        Heer, die mij ziet zoals ik ben,
140        Bescherm mij, Heer, behoed mijn leven,
141        U, Heer, roep ik, U geldt mijn smeken,
142        Tot God de Heer hief ik mijn stem,
143        O Here, hoor naar mijn gebeden,
144        Gezegend zij de Heer, die te allen tijde
145        O Heer, mijn God, Gij koning van ’t heelal,
146        Zing, mijn ziel, voor God uw Here,
147        Lof zij de Heer, goed is het leven
148        Halleluja! Prijs God en zing,
149        Halleluja! laat opgetogen
150        Loof God, loof Hem overal.
151        Ik zing voor de Heer en ik prijs zijn gezag;
152        Mijn hart verheugt zich zeer
153        Ik wil niet zwijgen, ik zal zingen,
155        Zijt Gij mijn God,
156        Ik heb verstaan, Heer, wat Gij hebt gezegd,
161        Christus is het beeld van de onzichtbare God,
162        In het begin lag de aarde verloren
164        Zij is een vrouw van naam in Israël.
165        Wat moet je met die zilveren schaal,
168        When Israel was in Egypt’s land,
169        De koning van Egypteland
170        Samuël, Samuël, lig je te dromen,
171        David werd gekozen
172        Een rijke man, een man van niets,
173        Kom mee, zei David, allemaal,
174        Naäman woonde in het land naast Israël.
175        Wij hebben een sterke stad,
176        Om Sions wil zwijg ik niet stil,
177        Daar komt de man uit Anatot,
178        Wie wil uit zijn hokje komen
179        Meisje sta op, want je slaapt niet meer,
180        De heer gaat naar het buitenland.
181        Een heel klein zaadje waait weg op de wind.
182        Blinde man, ga voort gij,
183        Een zaaier zaaide zaad in ’t rond,
184        De herder heeft zich niet vergist,
185        Een jongen met een grote mond,
186        Er is geen plaats, er is geen plaats,
187        Runderen, schapen en duiven te koop!
188        Bij de Jakobsbron
189        Daar gaat Saulus hoog te paard
191        Heer, open mijn lippen.
193        God, kom mij te hulp.
194        Onze hulp is in de naam van de Heer,
195        Ere zij de Vader en de Zoon
196        In uw handen Heer, beveel ik mijn leven.
197        Gij die het sprakeloze bidden hoort
198        Heer, laat mijn woorden stijgen
199        Koester de namen die wij hier gedenken,
200        Wek uw kracht en kom ons bevrijden.
201        Die ons gedenkt
202        Blijf bij ons, want het is avond
203        De Heer schenke ons zijn zegen,
204        Gij bron van tijd en eeuwigheid,
205        Daar kraait een haan, een goed bericht:
206        De zon gaat op in gouden schijn,
207        De trouw en goedheid van de Heer
208        Nu wordt het licht, de dag breekt aan,
209        Heer Jezus, o Gij dageraad,
210        God van hemel, zee en aarde
211        De gouden zonne / heeft overwonnen
212        Laten wij zingend deze dag beginnen!
213        Morgenglans der eeuwigheid,
214        Het licht dat weer opnieuw begon,
215        Ontwaak, o mens, de dag breekt aan,
216        Dit is een morgen als ooit de eerste,
217        De dag gaat open voor het woord des Heren,
218        Dank U voor deze nieuwe morgen,
219        Licht om te leven de duisternis voorbij,
220        Zoals een bloem zijn kelk heft naar de zon,
221        Zo vriendelijk en veilig als het licht,
222        De morgen is een vroege vriend
223        Opstaan, morgen, weg je sluiers, dans,
224        Elke dag vertelt over God de Heer,
225        Zingen wij van harte zeer,
226        Dank U voor uw overvloed,
227        Loof de Heer, want Hij is goed!
228        Gezegend ben Jij, God in ons midden.
229        Gezegend zijt Gij, eeuwige God,
230        Het eten staat op tafel klaar,
231        Dank U, dat wij samen eten, amen, amen.
